DOI,gemini,openai,common,priority,passfail
10.1016/j.epsl.2019.115833,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/10357710420002200123,XO,XC XN,Disagree,1,Unknown
10.1016/j.eiar.2019.106356,RE,XC XV XN,RE,3,Failed
10.1553/POPULATIONYEARBOOK2015S71,XN,XC XV XN,XN,0,NA
10.1111/jvs.12589,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1063/5.0140661,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.agwat.2018.06.027,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11270-023-06279-8,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.gloplacha.2022.103969,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.1016/j.coldregions.2015.10.012,XV XN,XC XN,XN,0,NA
10.1094/PDIS-08-17-1324-RE,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0269741,RA,XV XN,RA,8,Passed
10.4324/9780203827796-34,XO,XV XA,Disagree,1,Unknown
10.3390/SU12197878,XN,XV XN,XN,0,NA
10.1016/j.jclepro.2013.10.043,XV XN,XN,XN,0,NA
10.1007/s11356-021-12684-5,RE,XV XN,RE,8,Passed
10.5658/WOOD.2017.45.2.159,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jeem.2017.07.009,RE,XN,RE,8,Passed
10.1016/j.wasman.2024.05.049,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3389/fmars.2021.673989,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11431-021-1861-y,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/bg-16-241-2019,XV XN,XV XN,XN XV,0,NA
10.1371/journal.pone.0083824,XV XN,XC XV XN,XN XV,0,NA
10.1139/cjfas-2017-0435,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/wat2.1514,XO,XC XV XN,Disagree,1,Failed
10.1109/NUiCONE.2013.6780188,XC XN,XC XN XO,XN XC,0,NA
10.26650/ISTJECON2020-804635,RE RF RA,XN XA,RE RA RF,3,Unknown
10.1111/faf.12485,XO,XC XN,Disagree,6,Passed
10.1111/j.1365-2486.2011.02560.x,XN,XV XN,XN,0,NA
10.1007/s42452-020-2434-8,XV XN,XN,XN,0,NA
10.1371/journal.pmed.1002599,RA,XV XN,RA,8,Passed
10.5343/bms.2017.1180,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.agwat.2013.06.010,XV XN,Ambiguous,Ambiguous,2,Unknown
10.1016/j.ijhydene.2023.08.035,XV XN,XC XV XN,XN XV,0,NA
10.3390/rs14143257,XC XV XN,XC XN,XN XC,0,NA
10.1007/s12571-013-0260-1,XC,XC,XC,0,NA
10.1021/jp404402g,XC XN,XC XV XN,XN XC,0,NA
10.1186/s40494-024-01230-4,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ecolmodel.2005.03.003,XN XA XO,XC XV XN,XN,0,NA
10.1016/j.envexpbot.2014.01.005,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/gmd-10-3255-2017,XC,XC XV XN,XC,0,NA
10.1006/qres.2000.2130,XC XN,XC XV XN,XN XC,0,NA
10.1007/s00382-015-2507-3,XV XN,XV XN,XN XV,0,NA
10.3389/fbuil.2022.884849,XV XN,XC XV XN,XN XV,0,NA
10.5194/acp-9-2441-2009,XC,XC XV XN,XC,0,NA
10.3390/w12123401,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ecss.2019.02.040,XV XN,XC XV XN,XN XV,0,NA
10.7717/peerj.13202,XC XN,XC XV XN,XN XC,0,NA
10.3390/horticulturae8010011,XC XN,XC XN,XN XC,0,NA
10.3390/en18020369,RE RF RA,XV XN,RE RA RF,3,Unknown
10.1111/gcb.15322,XV XN,XC XV XN,XN XV,0,NA
10.1007/978-981-16-7160-9_146,XC XN,XC XN,XN XC,0,NA
10.1016/j.coal.2010.10.012,XC,XC XV XN,XC,0,NA
10.1007/s11837-014-1207-5,XC,XC XN,XC,0,NA
10.1073/pnas.1310700110,XV XN,XC XV XN,XN XV,0,NA
10.3389/fmicb.2016.00668,XC XV XN,XC XV XN,XN XC XV,0,NA
10.15835/nbha52414211,XN,XV XN,XN,0,NA
10.1063/1.5098037,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.agrformet.2012.03.007,XV XN,XV XN,XN XV,0,NA
10.1016/j.ecolecon.2014.03.017,XN XO,XN,XN,0,NA
10.3389/fvets.2021.742288,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-981-97-1339-4_4,XO,XC XV XN,Disagree,1,Failed
10.1016/j.scitotenv.2024.178026,XC XV XN,XC XN,XN XC,0,NA
10.1049/rpg2.13017,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3389/fenrg.2022.817679,XN XO,XC XN,XN,0,NA
10.1002/adma.202106750,XC XV XN,XC XN,XN XC,0,NA
10.3390/rs15112858,XN XO,XC XV XN,XN,0,NA
10.4324/9781003334002-11,XO,XV XN,Disagree,1,Failed
10.1021/acsaem.1c00891,XC,XC XV XN,XC,0,NA
10.1201/9781003483755-62,XC XV XN,XC XN,XN XC,0,NA
10.1088/1748-9326/ac6003,RE,RE,RE,5,Failed
10.1016/j.geoforum.2020.05.021,XN XO,XN,XN,0,NA
10.1016/j.agrformet.2024.110126,XV XN,XV XN,XN XV,0,NA
10.1088/1748-9326/10/10/105007,XO,XV XN,Disagree,1,Failed
10.1007/s10584-012-0575-5,XV XN,XV XN,XN XV,0,NA
10.1016/j.foreco.2023.121194,XN XO,XC XV XN,XN,0,NA
10.1007/s12517-015-2045-7,XO,XV XN,Disagree,1,Unknown
10.2113/gsecongeo.105.3.627,XC XN,XC XV XN,XN XC,0,NA
10.1016/S1001-0742(11)60724-9,XC,XC XV XN,XC,0,NA
10.1016/j.jenvman.2022.117110,XN,XN,XN,0,NA
10.1111/ele.13195,XC XN,XC XN,XN XC,0,NA
10.1108/JFRC-01-2021-0006,XO,XC XN,Disagree,1,Failed
10.1039/c4ta03937h,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11356-022-22555-2,Ambiguous,XN,Ambiguous,2,Failed
10.3390/agronomy10121930,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.marpolbul.2020.110950,XV XN,XN,XN,0,NA
10.1111/j.1365-2435.2011.01912.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/rsp3.12286,XC XO,XC XN,XC,0,NA
10.1002/er.3804,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2024.123489,XN,XC XV XN,XN,0,NA
10.1016/j.ecolmodel.2014.07.015,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ecm.1228,XC XN,XC XV XN,XN XC,0,NA
10.3390/land2020081,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/f8020040,XO,XC XV XN,Disagree,1,Unknown
10.1016/j.cliser.2023.100426,XN,XN,XN,0,NA
10.1016/j.pocean.2023.103080,XV XN,XV XN,XN XV,0,NA
10.1080/15481603.2023.2166443,XV XN,XV XN,XN XV,0,NA
10.5846/stxb201310072410,XV XN,XC XV XN,XN XV,0,NA
10.1175/2008WAF2222140.1,XO,XC XV XN,Disagree,1,Failed
10.1117/12.919412,XO,XV XN,Disagree,1,Unknown
10.1080/00045608.2011.567929,XN,XC XV XN,XN,0,NA
10.3390/su11246991,XO,XC XN,Disagree,1,Failed
10.1016/j.ijdrr.2024.104618,XV XN XO,XV XN,XN XV,0,NA
10.17221/119/2023-AGRICECON,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rspp.2024.100059,XC XO,XC,XC,0,NA
10.1029/2018JD029400,XV XN,XC XV XN,XN XV,0,NA
10.1111/php.13083,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/bor.12276,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/19443994.2014.959743,XV XN,XN,XN,0,NA
10.1007/s00704-024-04872-3,XO,XV XN,Disagree,6,Passed
10.1093/icesjms/fsad141,XC XN,XC XV XN,XN XC,0,NA
10.3390/resources10050051,XV XN,XV XN,XN XV,0,NA
10.1016/j.foreco.2009.08.019,XV XN,XC XV XN,XN XV,0,NA
10.1038/s41477-019-0549-y,XC XN XO,XC XV XN,XN XC,0,NA
10.1007/s11356-022-24857-x,XN,XV XN,XN,0,NA
10.1016/j.erss.2022.102604,XO,XC XV XN,Disagree,1,Failed
10.3390/atmos11030247,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jhydrol.2017.08.001,XV XN,XV XN,XN XV,0,NA
10.1007/s10098-023-02508-0,XC,XC XV XN,XC,0,NA
10.1029/2008GM000778,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1017/CBO9780511920899.001,XC XV,XC XN,XC,0,NA
10.1111/j.1420-9101.2008.01662.x,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10040-018-1901-4,XN,XN,XN,0,NA
10.1029/2021GL097623,XC,XC XV XN,XC,0,NA
10.1103/PhysRevE.92.042139,XC,XC XN,XC,0,NA
10.3969/j.issn.1000-6362.2020.08.005,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.enconman.2015.05.026,XO,XC XV XN,Disagree,1,Failed
10.1007/s10342-020-01306-3,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11056-015-9513-5,Ambiguous,XV XN,Ambiguous,7,Passed
10.1016/j.apenergy.2018.09.179,XC,XC XV XN,XC,0,NA
10.1007/s10236-015-0892-0,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.eap.2021.07.007,XC,XC XV XN,XC,0,NA
10.1093/jxb/erv492,XV XN,XC XV XN,XN XV,0,NA
10.1093/forestry/cpac050,XV XN,XN,XN,0,NA
10.1016/j.jhydrol.2014.08.011,XN,XN,XN,0,NA
10.1016/j.agrformet.2020.108313,No codes,XV XN,Code failure,6,Passed
10.1002/2016WR020218,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/cp-19-2463-2023,XO,XC XV XN,Disagree,1,Failed
10.1007/s00300-018-2271-z,XO,XC XN,Disagree,1,Unknown
10.1007/s11356-024-34143-7,XC XN,XC XN,XN XC,0,NA
10.1016/j.jclepro.2017.06.049,XO,XC XV XN,Disagree,1,Failed
10.1002/wcc.849,XO,XN,Disagree,1,Failed
10.1007/978-3-030-91851-4_20,RE RF RA,XN,RE RA RF,3,Failed
10.4324/9781315718064,XN XA XO,XC XN,XN,0,NA
10.1016/j.conbuildmat.2024.135165,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/gcb.14147,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jag.2007.11.003,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.dendro.2022.125954,XN,XV XN,XN,0,NA
10.1016/j.agee.2011.07.001,XV XN,XV XN,XN XV,0,NA
10.1430/98711,XC,XC XV XN,XC,0,NA
10.1111/fme.12687,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/NCLIMATE1556,XC XN,XC XV XN,XN XC,0,NA
10.1038/NCLIMATE1694,XC XV XN,XC XN,XN XC,0,NA
10.1175/BAMS-D-12-00162.1,XO,XV XN,Disagree,6,Passed
10.1007/s00477-021-02133-7,XV XN,XN,XN,0,NA
10.1111/j.1365-2486.2011.02397.x,XC XV XN,XC XN,XN XC,0,NA
10.1525/auk.2009.08182,XC,XC XV XN,XC,0,NA
10.1016/j.gloplacha.2014.07.005,XC XO,XC XV XN,XC,0,NA
10.1016/j.energy.2020.118048,RE,XN,RE,3,Failed
10.1016/j.geomorph.2011.05.024,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.still.2024.106041,XN,XV XN,XN,0,NA
10.2747/0020-6814.44.12.1072,XC XV XN XO,XC XV XN,XN XC XV,0,NA
10.1063/1.4927200,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ece3.2700,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/23311916.2023.2283293,XC,XC XV XN,XC,0,NA
10.1038/s41612-023-00390-7,XV XN,XC XV XN,XN XV,0,NA
10.1002/sd.2163,XO,XN,Disagree,1,Failed
10.1002/env.912,XC XV XN,XC XN,XN XC,0,NA
10.1155/2015/180614,XN,XV XN,XN,0,NA
10.1007/s11676-023-01674-7,XN,XN,XN,0,NA
10.1007/s10126-022-10188-y,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1063/1.3384610,XO,XC XN,Disagree,1,Failed
10.1016/j.rse.2015.01.032,XV XN,XN,XN,0,NA
10.1016/j.ecolmodel.2015.09.027,RA,XN,RA,3,Unknown
10.1115/DETC2023-116657,XN,XN,XN,0,NA
10.1108/IJHMA-06-2024-0084,XN,XN,XN,0,NA
10.1016/j.ceramint.2024.07.201,XC XN,XC XN,XN XC,0,NA
10.1071/AN19255,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2017.11.130,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1186/1471-2458-14-958,XC XN,XC XV XN,XN XC,0,NA
10.1109/igarss.2019.8900201,XC XV XN,XV XN,XN XV,0,NA
10.4081/ija.2019.1362,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.ecolmodel.2010.08.035,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/S0378-1127(00)00292-9,XV XN,XC XV XN,XN XV,0,NA
10.1186/s40657-018-0100-2,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.jfe.2005.04.001,XV XN,XN,XN,0,NA
10.1213/ANE.0b013e3181c6b9ca,XC,XC XV XN,XC,0,NA
10.4311/2013ES0120,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.ijggc.2015.05.029,XO,XC XN,Disagree,1,Failed
10.2457/srs.44.137,XC XN,XC XV XN,XN XC,0,NA
10.1890/ES13-00234.1,XN,XC XV XN,XN,0,NA
10.1029/2018GL078028,XO,XC XV XN,Disagree,6,Passed
10.1016/j.rser.2022.112518,XC,XC XN,XC,0,NA
10.1080/10371656.2021.1895471,XC XN,XC XN,XN XC,0,NA
10.1109/TGRS.2023.3279089,XV XN,XC XV XN,XN XV,0,NA
10.1111/fog.12205,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jmst.2023.05.027,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.cej.2024.153976,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.envsci.2022.03.001,RA,XV XN,RA,8,Passed
10.20542/0131-2227-2020-64-9-26-36,XC XN,XC XN,XN XC,0,NA
10.1093/jee/toz263,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.atmosenv.2024.120994,XC,XC XN,XC,0,NA
10.1016/j.cryobiol.2023.104786,XC XN,XC XV XN,XN XC,0,NA
10.1038/s41612-023-00502-3,XC XV XN,XV XN,XN XV,0,NA
10.1134/S1070363209110358,XV XN,XC XV XN,XN XV,0,NA
10.1002/eap.2958,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rser.2018.06.056,XC XV,XC XV XN,XC XV,0,NA
10.1016/j.rse.2011.10.031,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1098/rspb.2017.0412,XN,XC XV XN,XN,0,NA
10.1016/j.scitotenv.2021.148770,XC XA,XC XN,XC,0,NA
10.5751/ES-05971-180430,XV XN,XV XN,XN XV,0,NA
10.1007/s11027-011-9295-9,RA,XN,RA,8,Passed
10.1038/s41598-023-35523-8,XV XN,XV XN,XN XV,0,NA
10.1016/j.egyr.2022.09.059,RE RF,XV XN,RE RF,8,Passed
10.1002/agg2.20087,XC XV XN,XC XN,XN XC,0,NA
10.1002/etc.3391,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00442-017-3829-0,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.memsci.2010.11.057,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11356-009-0181-x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/26395916.2023.2250467,XV XN,XN,XN,0,NA
10.1007/s10098-018-1589-0,XN XO,XC XV XN,XN,0,NA
10.5194/bg-12-2655-2015,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.soilbio.2020.107825,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/su16166982,XN,XC XN,XN,0,NA
10.1016/j.scitotenv.2020.143524,XC XV XN,XC XN,XN XC,0,NA
10.1111/risa.14144,Ambiguous,RE,Ambiguous,9,Passed
10.1093/pubmed/fdn058,XO,XC XV XN XA,Disagree,1,Unknown
10.1007/s11356-022-21684-y,XN,XV XN,XN,0,NA
10.1016/j.rser.2024.114385,RE,XN,RE,3,Failed
10.1016/j.scs.2023.105153,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.envint.2024.108423,XC XV XN,XC XN,XN XC,0,NA
10.5194/bg-11-1627-2014,XN,XC XV XN,XN,0,NA
10.1016/j.geoderma.2021.115450,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/adem.202200770,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/su142315677,XN XO,XC XV XN,XN,0,NA
10.32479/ijeep.14987,RE,RE RA,RE RA,5,Failed
10.1088/1742-6596/2322/1/012079,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1654-1103.2009.05464.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1186/s13717-024-00485-w,XC XV XN,XV XN,XN XV,0,NA
10.3389/fmars.2023.1248840,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/isprsarchives-XLI-B8-65-2016,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/srep10523,XC XV XN XO,XC XN,XN XC,0,NA
10.1007/s00468-015-1299-8,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.watres.2021.117510,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.cageo.2017.08.005,XC,XC XV XN,XC,0,NA
10.3389/fpls.2018.01845,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3969/j.issn.1002-6819.2014.05.034,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envsci.2023.05.019,XV XN,XN,XN,0,NA
10.1016/0304-3800(91)90038-3,XO,Ambiguous,Ambiguous,2,Failed
10.1111/sum.13061,XC XV XN,XV XN,XN XV,0,NA
10.1007/s10668-015-9632-3,XN,XN,XN,0,NA
10.3390/ijms231911060,XN,XC XV XN,XN,0,NA
10.1002/2017WR020954,XN,XN,XN,0,NA
10.1016/j.scitotenv.2022.160519,XV XN,XC XV XN,XN XV,0,NA
10.1007/BF03176244,XO,XC XV XN,Disagree,6,Passed
10.36296/1819-8058.2020.3(62).8-15,XV XN,XN,XN,0,NA
10.1016/j.enpol.2004.07.002,XO,XN,Disagree,1,Failed
10.3390/app131810505,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.eneco.2019.01.024,XN,XV XN,XN,0,NA
10.1145/3394171.3425169,XO,XC XV XN XO,XO,0,NA
10.1007/978-3-031-42622-3_48,XC XN,XC XN XO,XN XC,0,NA
10.1007/s10811-022-02706-1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0226275,RA,XN,RA,8,Passed
10.1007/978-981-16-9001-3_3,XN,XV XN,XN,0,NA
10.1016/j.suscom.2021.100554,XN,XN,XN,0,NA
10.1051/forest/2009094,XV XN,XC XV XN,XN XV,0,NA
10.1021/acs.estlett.2c00826,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.esr.2024.101357,RF RA,XN,RA RF,3,Failed
10.1016/B978-0-443-31596-1.00005-2,XV XN,XC XV XN,XN XV,0,NA
10.3280/EFE2019-001007,XO,XV XA,Disagree,1,Failed
10.1016/j.scitotenv.2021.146924,XV XN,XC XV XN,XN XV,0,NA
10.1111/btp.12081,XV XN,XC XV XN,XN XV,0,NA
10.1038/s41558-019-0504-y,XN,XV XN,XN,0,NA
10.1103/PhysRevAccelBeams.25.080102,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.aquabot.2009.06.007,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1890/04-0431,XV XN,XV XN,XN XV,0,NA
10.1029/2022GH000611,XV XN XO,XN,XN,0,NA
10.1016/j.fmre.2021.09.008,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/ejss.13361,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/s41586-022-04737-7,XV XN,XN,XN,0,NA
10.1016/j.jnucmat.2024.155479,XC XN,XC XV XN,XN XC,0,NA
10.5507/fot.2024.002,XC,XC XV XN,XC,0,NA
10.3390/en17153651,RF,XN,RF,3,Failed
10.1016/j.joule.2021.03.005,RA,XC XV XN,RA,3,Failed
10.1016/j.jallcom.2018.03.314,XC XN,XC XV XN,XN XC,0,NA
10.3390/atmos15060720,XN,XV XN,XN,0,NA
10.1016/j.spc.2021.03.031,XN,XN,XN,0,NA
10.3390/f13040495,XN,XV XN,XN,0,NA
10.1080/01496390902733314,XO,XC XV XN,Disagree,1,Failed
10.1007/s10584-012-0591-5,XV XN,XV XN,XN XV,0,NA
10.1201/9781003376446-4,XC XV XN,XC XN XA,XN XC,0,NA
10.1016/j.jallcom.2017.01.201,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/S0921-8009(00)00135-X,XO,XN,Disagree,1,Failed
10.1007/s12665-015-4705-z,XC,XC XV XN,XC,0,NA
10.1016/j.conbuildmat.2021.125489,XC XN,XC XV XN,XN XC,0,NA
10.1017/CBO9781139086493.008,XC,XC XV XN,XC,0,NA
10.7135/UPO9781843313465.016,XO,XN,Disagree,1,Failed
10.3732/ajb.1500295,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1289/ehp.121-A270,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envsoft.2011.03.007,RE RF RA,RA,RE RA RF,5,Unknown
10.1063/1.4972899,XC XN,XC XN,XN XC,0,NA
10.1029/2022JB024344,XC XN,XC XV XN,XN XC,0,NA
10.1007/s11356-022-21508-z,XC,XC,XC,0,NA
10.1016/j.jclepro.2020.122637,XC XV,XC XV XN,XC XV,0,NA
10.1057/978-1-349-94857-4_1,XO,XC XN,Disagree,1,Unknown
10.13373/j.cnki.cjrm.XY23110035,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3864/j.issn.0578-1752.2022.20.010,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.1016/j.msea.2019.01.051,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/land13122127,XN XO,XV XN,XN,0,NA
10.1016/j.fcr.2021.108110,XV XN,XC XV XN XA,XN XV,0,NA
10.1111/j.1365-2486.2010.02319.x,XV XN XO,XC XV XN,XN XV,0,NA
10.1073/pnas.1618819114,XV XN,XV XN,XN XV,0,NA
10.2111/REM-D-12-00157.1,XV XN,XV XN,XN XV,0,NA
10.1016/j.jenvman.2022.117067,XN,XC XN,XN,0,NA
10.3389/frsus.2021.726332,XV XN,XC XN,XN,0,NA
10.1088/1748-9326/abe5d8,RE RF RA,XN,RE RA RF,3,Unknown
10.3389/fpls.2020.01078,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1029/2019JD031625,XC XV XN,XC XN,XN XC,0,NA
10.1177/0958305X231151683,XN,XN,XN,0,NA
10.1016/j.ejrs.2023.06.010,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.bir.2021.07.005,XC XN,XC XV XN,XN XC,0,NA
10.1002/lno.10962,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/w13101330,XC XV XN,XC XN,XN XC,0,NA
10.5194/hess-26-861-2022,Ambiguous,XV XN,Ambiguous,7,Passed
10.1109/JPHOTOV.2019.2945191,XO,XC XV XN,Disagree,1,Failed
10.1007/698_2019_437,XN XO,XV XN,XN,0,NA
10.1016/j.rcar.2023.04.006,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1175/JCLI-D-19-0311.1,RF,XV XN,RF,8,Passed
10.1109/STPEC49749.2020.9297672,XC XN,XC XN,XN XC,0,NA
10.1016/j.scitotenv.2018.09.316,RA,XV XN XA,RA,8,Passed
10.1016/j.envsci.2015.01.006,XN,XN,XN,0,NA
10.2118/217075-MS,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jenvman.2022.116193,RF,Ambiguous,Ambiguous,9,Passed
10.1016/j.forpol.2014.05.010,RA,XV XN,RA,8,Passed
10.1029/2023EF003622,Ambiguous,RE,Ambiguous,9,Passed
10.1139/as-2022-0027,XV XN,XV XN,XN XV,0,NA
10.1017/S0021859614000094,XV XN,XV XN,XN XV,0,NA
10.1007/978-3-642-05108-1_8,XO,XV XN XA,Disagree,1,Unknown
10.1016/j.worlddev.2015.03.003,RF,XV XN,RF,8,Passed
10.1016/j.apenergy.2020.115197,XV XN,XN,XN,0,NA
10.1111/fog.12165,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/h9030078,XC XV XN,XC XN,XN XC,0,NA
10.1007/s10584-012-0408-6,RE RF,XN,RE RF,3,Failed
10.1016/j.ijthermalsci.2024.109091,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.joule.2019.08.008,RE RF RA,XV XN,RE RA RF,3,Failed
10.5194/bg-9-2333-2012,XC XN,XC XV XN XA,XN XC,0,NA
10.1016/j.catena.2014.03.003,XN,XV XN,XN,0,NA
10.1016/j.eiar.2023.107136,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10980-020-01079-5,XO,XC XV XN,Disagree,1,Failed
10.1016/j.jobe.2021.102934,XN,XN,XN,0,NA
10.1038/s41598-017-10827-8,RE RF,XC XV XN,RE RF,8,Passed
10.1016/j.jhydrol.2021.127315,XV XN,XC XV XN,XN XV,0,NA
10.1038/s41598-024-74910-7,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.jallcom.2022.164750,XC,XC XV XN,XC,0,NA
10.1016/j.foreco.2014.04.030,Ambiguous,XC XV XN,Ambiguous,2,Unknown
10.1021/acsenergylett.2c01885,XC,XC XV XN,XC,0,NA
10.3390/rs15020475,XC XN,XC XV XN,XN XC,0,NA
10.1088/1748-9326/11/3/034003,RE RF,XV XN,RE RF,8,Passed
10.3390/land10020173,XV XN,XC XN,XN,0,NA
10.1002/ep.12446,XN,XV XN,XN,0,NA
10.1371/journal.pone.0139201,RE,XC XV XN,RE,3,Failed
10.1016/S0065-2113(06)90007-8,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.scitotenv.2024.173748,XC XV XN,XC XN,XN XC,0,NA
10.1142/S2010007824500015,XN,XC XN,XN,0,NA
10.2166/ws.2022.329,XC XN,XN,XN,0,NA
10.1016/B978-0-12-813411-5.00001-6,XC XV XN,XV XN,XN XV,0,NA
10.1016/j.jfe.2011.02.010,XO,XC XN,Disagree,1,Failed
10.11975/j.issn.1002-6819.2018.10.033,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1098/rstb.2012.0163,XO,XV XN,Disagree,6,Passed
10.1007/s11356-021-13329-3,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.ocecoaman.2024.107158,XV XN,XN,XN,0,NA
10.1016/S0165-1889(02)00071-4,XC XN XA XO,XN XO,XN XO,0,NA
10.3390/rs14010138,XV XN XO,XC XV XN,XN XV,0,NA
10.3389/fmars.2022.788380,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ppp3.10480,XV XN,XC XN,XN,0,NA
10.1016/j.jenvman.2023.117911,XV XN,XV XN,XN XV,0,NA
10.1007/978-3-030-45106-6_75,RF,XV XN,RF,8,Passed
10.1016/S0264-9993(99)00010-3,RE,XC XN,RE,3,Unknown
10.1300/J064v28n02_07,XC XN XO,XC XV XN,XN XC,0,NA
10.3390/su142315868,XN XO,XN XA,XN,0,NA
10.1016/j.landusepol.2019.04.010,XN XO,XC XN,XN,0,NA
